Number,Name,HexColor
70.924,Russian Uniform WWII - FS34127 - RLM83,#6f6d4b
70.925,Blue,#0e3261
70.926,Red - FS30160,#912930
70.927,Dark Flesh,#d29866
70.928,Light Flesh - FS31670,#f3d4b8
70.929,Light Brown,#a06950
70.930,Darkblue,#0c517f
70.934,Transparent Red,#b42e3e
70.935,Transparent Orange,#f36c25
70.936,Transparent Green,#008556
70.937,Transparent Yellow - FS38907,#f4e27e
70.938,Transparent Blue,#00458b
70.939,Smoke - Transparent,#3f3e39
70.940,Saddle Brown - FS30111,#4c2a21
70.941,Burnt Umber - FS30097,#655348
70.942,Light Green - FS34230,#599d5a
70.943,Grey Blue - FS35177,#7186a3
70.944,Old Rose,#d97d7b
70.945,Magenta - RAL 4006,#c5242c
70.946,Dark Red,#8b4756
70.947,Dark Vermillion - FS31350 - RAL 3000,#b23f42
70.948,Golden Yellow,#ffb35d
70.949,Light Yellow,#fded64
70.950,Black - FS37038 - RAL9005 - RLM22,#424243
70.951,White - FS37925 - RAL9016 - RLM21,#ffffff
70.952,Lemon Yellow - RAL 1018,#faf264
70.953,Flat Yellow - RLM4,#fcb543
70.954,Yellow Green,#bed264
70.955,Flat Flesh - FS32516,#d9a87a
70.956,Clear Orange - FS32246,#f0542b
70.957,Flat Red - FS31136 - ANA619 - RAL3013,#a12c3b
70.958,Pink,#c57ab3
70.959,Purple - FS37142,#735989
70.960,Violet,#4e4478
70.961,Sky Blue - FS35466,#9cd8f7
70.962,Flat Blue - FS35180,#3b4d77
70.963,Medium Blue - RAL 5019 - RLM 24,#2280b2
70.964,Field Blue,#466870
70.965,Prussian Blue - FS35052 - RAL 5000,#455f80
70.966,Turquoise,#357082
70.967,Olive Green,#5d7050
70.968,Flat Green - FS34128,#727526
70.969,Park Green Flat,#148269
70.970,Deep Green - FS34090,#326956
70.971,Green Grey - FS36595,#93a79c
70.972,Light Green Blue - RLM78,#82beba
70.973,Light Sea Grey - FS36480,#9cafb6
70.974,Green Sky - FS34373,#859f84
70.975,Military Green - FS34094,#3e5749
70.976,Buff,#d6c1a1
70.977,Desert Yellow - FS30257,#927748
70.978,Dark Yellow - FS33440 - RAL 7028,#8f8457
70.979,German Camouflage Dark Green - FS34052 - RAL 6007,#25221b
70.980,Black Green,#19453f
70.981,Orange Brown - FS30252 - RAL 8023,#b56d42
70.982,Cavalry Brown - FS30109,#5e3a3c
70.983,Flat Earth - FS30145,#6c5641
70.984,Flat Brown - FS30108 - RAL 8011,#734741
70.985,Hull Red - FS30059 - RAL 8017,#502623
70.986,Deck Tan - FS36440,#a9b2a2
70.987,Medium Grey - FS36306,#968980
70.988,Khaki - FS30277,#a6977d
70.989,Sky Grey - FS36463,#9aa0a0
70.990,Light Grey - FS36375 - RAL 7001,#abb0b8
70.991,Dark Sea Grey - FS36231,#888b8d
70.992,Neutral Grey - FS36173,#637579
70.993,White Grey,#cbcdc6
70.994,Dark Grey - FS36076,#2c3f3d
70.995,German Grey - FS35044 - RAL 7016,#252b2b
70.996,Gold,#c7aa5a
70.997,Silver,#c2cece
70.998,Bronze,#534f3d
70.999,Copper,#955e40
70.521,Metal Medium,
70.596,Glaze Medium,
70.740,Camouflage Middle Brown,#513e20
70.741,Camouflage Black Green,#313129
70.745,Dark Rose,#805252
70.746,Chestnut Brown,#603f36
70.747,Faded Red,#ba584f
70.748,Light Pink,#e18da4
70.749,Dark Purple,
70.750,Light Violet,#a893ba
70.751,Black Violet,#392a31
70.752,Infantry Blue,#25212f
70.753,Light Blue Green,#0098a5
70.754,Continental Blue,#25242a
70.755,Light Emerald,#027b74
70.756,Splinter Green,#456341
70.756,Splinter Green,#456341
70.757,Pacific Green,#586f65
70.758,Bright Green,#6f8348
70.759,German Tank Crew,#544a3e
70.760,Light Mud,#7c755b
70.761,Old Wood,#816d52
70.762,Grey Brown,#5b4921
70.763,Canvas,#4d3e1f
70.764,Military Yellow,#937626
70.765,Desert Tan,#b5a188
70.766,Cream White,#f2ebd9
70.767,Desert Brown,#ab8556
70.768,BC Dark Brown,#76563d
70.769,Mustard Brown,#9d714a
70.770,New Wood,#8a633c
70.771,Dark Rust,#3b2625
70.771,Dark Rust,#3b2625
70.772,Medium Grey Blue,#779d92
70.773,Violet Grey,#5a5957
70.774,Lavender Grey,#7f6f6f
70.800,Gunmetal Blue,#282834
70.801,Brass,#8f6c36
70.802,Sunset Red,#be2b48
70.803,Brown Rose,#9c6560
70.804,Beige Red,#b06e4b
70.805,German Orange,#ba6254
70.806,German Yellow,#ceb65e
70.807,Oxford Blue,#3e3a53
70.808,Blue Green,#007885
70.809,Royal Blue,#1a427d
70.810,Royal Purple,#4d2740
70.811,Blue Violet,#58477e
70.812,Violet Red,#63353f
70.814,Burnt Red,#763c3a
70.815,Basic Skin Tone,#e9ac8d
70.816,Luftwaffe Uniform,#44404e
70.817,Scarlet,#c13d2e
70.818,Red Leather,#95553c
70.819,Iraqi Sand,#b4935e
70.820,Off-White,#f4ede7
70.821,German Beige WWII,#796950
70.822,Camouflage Black Brown,#403436
70.823,Luftwaffe Green,#393f25
70.824,Orange Ochre,#ab8135
70.825,Pale Brown,#9f8375
70.826,Medium Brown,#5a4739
70.827,Lime Green,#7e9334
70.828,Mahogany Ink,#453a34
70.829,Amarantha Red,#d04f30
70.830,German Fieldgrey WWII,#56513b
70.833,Fern Green,#465534
70.835,Salmon Rose,#e18e7c
70.836,London Grey,#696363
70.837,Pale Sand,#e3c28d
70.838,Emerald,#006249
70.840,Light Turquoise,#006989
70.841,Andrea Blue,#0070ac
70.843,Cork Brown,#a06f4e
70.844,Deep Sky Blue,#00bfff
70.845,Sunny Skin Tone,#ed9646
70.846,Mahogany Brown,#79504a
70.847,Dark Sand,#cba868
70.850,Medium Olive,#3e4e31
70.851,Bright Orange,#df5a21
70.856,Ochre Brown,#aa793e
70.858,Ice Yellow,#edd072
70.859,Black Red,#552f2c
70.860,Medium Flesh Tone,#af793d
70.861,Gloss Black,#241e1e
70.862,Black Grey,#2e2721
70.863,Gunmetal,#342b2e
70.864,Natural Steel,#535258
70.865,Oily Steel,#484246
70.866,Grey Green,#41403e
70.867,Dark Blue Grey,#424345
70.868,Dark Sea Green,#4b4545
70.869,Basalt Grey,#5b595c
70.870,Medium Sea Grey,#7d7b7c
70.871,Leather Brown,#594335
70.872,Chocolate Brown,#58443d
70.873,US Field Drab,#826545
70.874,Tan Earth,#997457
70.876,Brown Sand,#906143
70.877,Gold Brown,#bf873c
70.878,Old Gold,#55371d
70.879,Green Brown,#7e6338
70.880,Khaki Grey,#7c6438
70.881,Green Yellow,#6e653c
70.882,Middle Stone,#927e41
70.883,Silver Grey,#d7cec5
70.884,Stone Grey,#8c7c63
